"Date","Price","Open","High","Low","Vol.","Change %"
"10/18/2024","35.00","34.05","35.45","33.90","23.51M","3.09%"
"10/17/2024","33.95","34.65","35.10","33.55","12.83M","-1.16%"
"10/16/2024","34.35","35.30","35.70","34.00","29.75M","-4.05%"
"10/15/2024","35.80","37.30","37.80","35.30","21.84M","-4.02%"
"10/14/2024","37.30","38.90","38.90","36.95","20.97M","-4.36%"
"10/10/2024","39.00","38.90","39.50","37.55","22.31M","2.23%"
"10/09/2024","38.15","38.75","39.75","36.90","31.17M","0.39%"
"10/08/2024","38.00","42.80","42.80","37.65","37.97M","-12.24%"
"10/07/2024","43.30","41.25","43.80","41.25","42.88M","9.34%"
"10/04/2024","39.60","39.00","40.50","38.45","15.83M","1.02%"
"10/03/2024","39.20","41.50","41.50","37.95","30.09M","-5.54%"
"10/02/2024","41.50","38.20","41.65","38.20","48.24M","6.27%"
"09/30/2024","39.05","38.80","40.60","38.05","47.67M","3.31%"
"09/27/2024","37.80","36.80","38.60","36.25","64.07M","8.78%"
"09/26/2024","34.75","31.90","34.75","31.65","35.28M","9.97%"
"09/25/2024","31.60","32.90","33.15","31.55","21.77M","0.48%"
"09/24/2024","31.45","31.10","31.70","30.45","20.82M","1.94%"
"09/23/2024","30.85","30.80","31.70","30.75","19.04M","-1.12%"
"09/20/2024","31.20","30.60","31.35","30.00","21.14M","3.14%"
"09/19/2024","30.25","29.00","30.65","29.00","17.79M","4.49%"
"09/17/2024","28.95","28.20","29.10","28.05","9.12M","2.12%"
"09/16/2024","28.35","27.80","28.35","27.60","11.50M","1.07%"
"09/13/2024","28.05","28.40","28.95","28.05","8.09M","-1.06%"
"09/12/2024","28.35","28.05","28.70","27.75","10.94M","1.61%"
"09/11/2024","27.90","28.40","28.70","27.70","10.32M","-3.46%"
"09/10/2024","28.90","28.45","29.15","28.35","14.51M","0.70%"
"09/09/2024","28.70","29.15","29.40","28.30","14.78M","-1.54%"
"09/05/2024","29.15","29.70","30.10","28.90","9.49M","-1.85%"
"09/04/2024","29.70","29.75","30.30","29.30","9.70M","-0.67%"
"09/03/2024","29.90","30.00","30.75","29.75","10.25M","-0.33%"
"09/02/2024","30.00","30.50","30.70","29.75","11.19M","-0.66%"
"08/30/2024","30.20","29.90","31.00","29.85","25.86M","1.00%"
"08/29/2024","29.90","30.40","30.50","29.60","17.26M","-1.97%"
"08/28/2024","30.50","30.85","31.10","30.35","10.95M","-0.97%"
"08/27/2024","30.80","30.85","31.00","30.20","14.38M","-0.81%"
"08/26/2024","31.05","31.10","31.65","30.90","10.41M","0.65%"
"08/23/2024","30.85","30.90","31.00","30.30","5.88M","-1.12%"
"08/22/2024","31.20","31.55","31.80","30.80","8.82M","-0.16%"
"08/21/2024","31.25","31.20","31.40","30.90","8.99M","-0.64%"
"08/20/2024","31.45","32.20","32.25","31.20","10.32M","-0.79%"
"08/19/2024","31.70","31.65","32.35","31.50","21.28M","1.60%"
"08/16/2024","31.20","30.40","31.25","29.90","61.62M","5.58%"
"08/15/2024","29.55","29.20","29.70","28.65","32.46M","1.03%"
"08/14/2024","29.25","29.80","29.80","29.10","12.94M","-0.51%"
"08/13/2024","29.40","29.25","29.55","28.70","22.04M","-0.17%"
"08/12/2024","29.45","30.05","30.05","29.05","18.07M","-4.38%"
"08/09/2024","30.80","30.95","31.55","30.65","11.12M","1.48%"
"08/08/2024","30.35","30.60","30.80","29.90","18.67M","-1.46%"
"08/07/2024","30.80","31.50","31.55","30.65","7.74M","-2.22%"
"08/06/2024","31.50","32.25","32.75","31.30","8.77M","-1.56%"
"08/05/2024","32.00","30.60","32.40","30.35","13.09M","2.24%"
"08/02/2024","31.30","32.10","32.30","31.10","13.91M","-4.57%"
"08/01/2024","32.80","32.85","32.95","32.30","4.72M","-0.15%"
"07/31/2024","32.85","32.70","33.15","32.50","11.89M","0.46%"
"07/30/2024","32.70","33.70","33.70","32.65","10.05M","-3.11%"
"07/29/2024","33.75","33.60","34.10","33.50","4.56M","0.00%"
"07/26/2024","33.75","34.10","34.25","33.50","6.01M","-1.03%"
"07/25/2024","34.10","34.20","34.45","33.45","7.38M","-0.58%"
"07/24/2024","34.30","34.05","34.55","34.00","4.84M","0.73%"
"07/23/2024","34.05","34.65","34.75","33.90","6.05M","-0.29%"
"07/22/2024","34.15","34.00","34.25","33.45","4.58M","0.59%"
"07/19/2024","33.95","34.00","34.45","33.75","8.22M","-1.31%"
"07/18/2024","34.40","34.25","34.80","34.25","3.75M","0.15%"
"07/17/2024","34.35","34.10","34.70","34.05","3.00M","0.73%"
"07/16/2024","34.10","34.30","34.30","33.65","4.90M","-1.16%"
"07/15/2024","34.50","35.20","35.20","34.25","4.56M","-1.99%"
"07/12/2024","35.20","34.95","35.50","34.80","5.27M","1.73%"
